k,bandwidth,mse
1,0.1,2610.5714285714284
1,0.5,2610.5714285714284
1,1.0,2610.5714285714284
1,10.0,2610.5714285714284
5,0.1,3159.9654052194164
5,0.5,3089.782249007937
5,1.0,3003.857716360333
5,10.0,2431.2950080831833
10,0.1,4404.032911330558
10,0.5,4303.406644488825
10,1.0,4170.590542351276
10,10.0,2645.628445236325
20,0.1,6079.320267894876
20,0.5,5946.010204171442
20,1.0,5774.171350280227
20,10.0,3116.272793905565
30,0.1,7688.228976926621
30,0.5,7509.77857162247
30,1.0,7276.191519537146
30,10.0,3413.3094339087766
40,0.1,9155.940258217637
40,0.5,8935.875188537391
40,1.0,8645.677278342628
40,10.0,3716.5132515299033
50,0.1,10144.01908716066
50,0.5,9904.320998597741
50,1.0,9585.239150227015
50,10.0,3906.2054148209404
