h1,h2,mse
1,1,31334.48770288985
1,5,31633.469990664955
1,10,12519.268524131596
1,25,13090.096520738593
1,50,13106.866638283049
5,1,29749.94909191438
5,5,30242.642667038956
5,10,30480.43166865748
5,25,11134.833087904573
5,50,11493.722830431752
10,1,29035.230915458807
10,5,29320.608794574007
10,10,29506.274839490547
10,25,20350.90445078567
10,50,10938.633884480263
25,1,28724.7483417804
25,5,28764.30385623027
25,10,28792.897738277963
25,25,28848.045853691605
25,50,26973.01879434405
50,1,28685.985282375885
50,5,28688.607557667674
50,10,28691.09611300937
50,25,28696.409278943902
50,50,28703.19755548659
